id;title;year;type;thumbnail;order;summary;description_long;gallery;video;credits
TAKEN_FOR_A_BAT_SPACE_LIVE_4;TAKEN FOR A BAT SPACE;2025;Multimedia show;TAKEN_FOR_A_BAT_SPACE_LIVE_4.webp;1;TAKEN FOR A BAT SPACE is An experiment built by a collective of international designers reclaiming space together. Through collective building, installations, and performances, it staged a cultural shelter to experience and discuss rewilding processes and beyond human spectrum sensing. It was activated during Dutch Design Week 2025 and hosted by ReWild Farm.;;TAKEN_FOR_A_BAT_SPACE_LIVE_4.webp|TAKEN_FOR_A_BAT_SPACE_LIVE_3.webp|TAKEN_FOR_A_BAT_SPACE_LIVE_2.webp|TAKEN_FOR_A_BAT_SPACE_LIVE_1.webp|TAKEN_FOR_A_BAT_SPACE_VISUAL_1.webp|TAKEN_FOR_A_BAT_SPACE_VISUAL_2.webp|TAKEN_FOR_A_BAT_SPACE_VISUAL_4.webp;;Dora Heller Russel, Tymon Zaniewski, Celeste Zion.
BIRDS_AND_MACHINES_VISUAL_1;BIRDS AND MACHINES;2025;Video research;BIRDS_AND_MACHINES_VISUAL_1.webp;2;BIRDS AND MACHINES is an ongoing visual research, film and installation project that follows the migration traces of birds between Gibraltar and the Atlas Mountains.;;BIRDS_AND_MACHINES_VISUAL_1.webp|BIRDS_AND_MACHINES_VISUAL_2.webp|BIRDS_AND_MACHINES_VISUAL_3.webp|BIRDS_AND_MACHINES_VISUAL_4.webp|BIRDS_AND_MACHINES_VISUAL_5.webp;;
BORDERS_OF_NEUTRALITY_VISUAL_8;BORDERS OF NEUTRALITY;2024;Installation;BORDERS_OF_NEUTRALITY_VISUAL_8.webp;3;BORDERS OF NEUTRALITY is a multimedia installation that reads the Alps as a shifting border archive, where melting glaciers redraw the lines of Swiss neutrality. A staged view from a mountain bench fractures under sonic disruptions and visual glitches. The project traces how geological aesthetics are co-opted into policy as visual tools of authority.;;BORDERS_OF_NEUTRALITY_VISUAL_1.webp|BORDERS_OF_NEUTRALITY_VISUAL_2.webp|BORDERS_OF_NEUTRALITY_VISUAL_3.webp|BORDERS_OF_NEUTRALITY_VISUAL_4.webp|BORDERS_OF_NEUTRALITY_VISUAL_5.webp|BORDERS_OF_NEUTRALITY_VISUAL_6.webp|BORDERS_OF_NEUTRALITY_VISUAL_7.webp|BORDERS_OF_NEUTRALITY_VISUAL_8.webp;;Aleksandra Nazarova
ASML_VISUAL_1;I thought ASML slept on Sundays;2024;Sound Installation;ASML_VISUAL_1.webp;4;I Thought ASML Slept on Sundays is a sonic infiltration of ASML, mapping what leaks from a sealed chip-making empire that powers computation, surveillance, warfare and daily life. It assembles field-recorded peripheries, encrypted patents and speculative sonic blueprints into a three-layer installation: porous noise at the edge, extracted discourse inside, and reverse-engineered machine imaginaries at the core. Where extreme precision seeks absolute silence, control hums on, even when unheard.;;ASML_VISUAL_1.webp|ASML_VISUAL_2.webp|ASML_VISUAL_3.webp;;Emma Zerial/ Aleksandra Nazarova
ULTRASONIC_SYSTEMS_VISUAL_3;ULTRASONIC SYSTEMS;2024;Video Installation;ULTRASONIC_SYSTEMS_VISUAL_3.webp;5;ULTRASONIC SYSTEMS is a sonic and visual research on the communication systems beyond human hearing spectrum, hidden beneath the soil, bellow the bricks as well as within the sky: from agrocultural computional sensing to bats nesting in our old buildings. It bridges stories from housing crisis, land control, urban policies and bats conservation.;;ULTRASONIC_SYSTEMS_VISUAL_1.webp|ULTRASONIC_SYSTEMS_VISUAL_2.webp|ULTRASONIC_SYSTEMS_VISUAL_3.webp|ULTRASONIC_SYSTEMS_VISUAL_4.webp|ULTRASONIC_SYSTEMS_VISUAL_5.webp|ULTRASONIC_SYSTEMS_VISUAL_6.webp|ULTRASONIC_SYSTEMS_VISUAL_7.webp|ULTRASONIC_SYSTEMS_VISUAL_8.webp|ULTRASONIC_SYSTEMS_VISUAL_9.webp|ULTRASONIC_SYSTEMS_VISUAL_10.webp;;
HARVEST_OF_NOISE_VISUAL_2;A HARVEST OF NOISE;2024;Sound Installation;HARVEST_OF_NOISE_VISUAL_2.webp;6;;;HARVEST_OF_NOISE_VISUAL_1.webp|HARVEST_OF_NOISE_VISUAL_2.webp|HARVEST_OF_NOISE_VISUAL_3.webp|HARVEST_OF_NOISE_VISUAL_4.webp|HARVEST_OF_NOISE_VISUAL_5.webp|HARVEST_OF_NOISE_VISUAL_6.webp;;
SYRINX_VISUAL_1;SYRINXES;2026;Multimedia Installation;SYRINX_VISUAL_3.webp;0;"A chance encounter between a singing chaffinch, a factory worker's whistle and the electromagnetic emissions surrounding ASML led Mathis Dabbarh Marsepoil to explore how culture is transmitted across human, technological and more-than-human worlds. Following migratory bird routes from southern Morocco, where his roots lie, to his current home in the Netherlands, the designer spent five months recording birdsong, radio transmissions, electromagnetic fields and spoken language; meeting conservationists, scientists, musicians and craftspeople; and searching archival collections and digital memory systems.";These materials form an immersive installation in which networked signals pass between sculptural bird bodies, sound and electronics, generating an open-ended performance through which visitors move. Bringing together biological, technological and cultural systems of transmission, the installation traces how migration, language and territory carry memory and belonging. It reflects on how colonial legacies in contemporary technology shape what is preserved, what is lost through standardisation or left beyond the archive's reach.;SYRINX_VISUAL_3.webp|SYRINX_VISUAL_1.webp|SYRINX_VISUAL_2.webp|SYRINX_VISUAL_4.webp|SYRINX_VISUAL_5.webp|SYRINX_VISUAL_6.webp|SYRINX_PERFORMANCE_1.webp|SYRINX_PERFORMANCE_2.webp;;Text: Nadine Botha. Photography (Visuals): Petr Kroschinsky. Photography (Activation): Celine Caly. Exhibited at Dutch Design Week 2026, MA Geo-Design Graduation Show, Microstad, Eindhoven, NL.
